order_id,Sales,Quantity,Discount,Profit,customer_id,order_date,ship_mode,ship_date
US-2017-118038,1.248,3,0.8,-1.9344,KB-16600,2017-12-09,First Class,2017-12-11
US-2014-147606,19.3,5,0.6,-14.475,JE-15745,2014-11-26,Second Class,2014-12-01
CA-2016-127208,208.16,1,0.0,56.2032,SC-20770,2016-06-12,First Class,2016-06-15
CA-2014-139451,14.9,5,0.0,4.172,DN-13690,2014-10-12,Standard Class,2014-10-16
CA-2015-149734,200.984,7,0.2,62.8075,JC-16105,2015-09-03,Standard Class,2015-09-08
US-2017-119662,230.376,3,0.2,-48.9549,CS-12400,2017-11-13,First Class,2017-11-16
CA-2017-140088,301.96,2,0.0,33.2156,PO-18865,2017-05-28,Second Class,2017-05-30
CA-2017-155558,19.99,1,0.0,6.7966,PG-18895,2017-10-26,Standard Class,2017-11-02
CA-2016-159695,158.368,7,0.2,13.8572,GM-14455,2016-04-05,Second Class,2016-04-10
CA-2016-109806,20.1,3,0.0,6.633,JS-15685,2016-09-17,Standard Class,2016-09-22
CA-2015-149587,12.96,2,0.0,6.2208,KB-16315,2015-01-31,Second Class,2015-02-05
US-2017-109484,5.682,1,0.7,-3.788,RB-19705,2017-11-06,Standard Class,2017-11-12
CA-2017-161018,96.53,7,0.0,40.5426,PN-18775,2017-11-09,Second Class,2017-11-11
CA-2017-157833,51.312,3,0.2,17.9592,KD-16345,2017-06-17,First Class,2017-06-20
CA-2016-149223,77.88,6,0.0,22.5852,ER-13855,2016-09-06,Standard Class,2016-09-11
CA-2016-158568,64.624,7,0.2,22.6184,RB-19465,2016-08-29,Standard Class,2016-09-02
CA-2016-129903,23.92,4,0.0,11.7208,GZ-14470,2016-12-01,Second Class,2016-12-04
US-2015-156867,238.896,6,0.2,-26.8758,LC-16870,2015-11-13,Standard Class,2015-11-17
CA-2017-119004,74.112,8,0.2,17.6016,JM-15250,2017-11-23,Standard Class,2017-11-28
CA-2015-129476,339.96,5,0.2,67.992,PA-19060,2015-10-15,Standard Class,2015-10-20
CA-2017-146780,41.96,2,0.0,10.9096,CV-12805,2017-12-25,Standard Class,2017-12-30
CA-2016-128867,75.96,2,0.0,22.788,CL-12565,2016-11-03,Standard Class,2016-11-10
CA-2014-115259,40.096,14,0.2,14.5348,RC-19960,2014-08-25,Second Class,2014-08-27
CA-2015-110457,787.53,3,0.0,165.3813,DK-13090,2015-03-02,Standard Class,2015-03-06
US-2015-136476,157.794,1,0.7,-115.7156,GG-14650,2015-04-05,Standard Class,2015-04-10
CA-2016-103730,47.04,3,0.0,18.3456,SC-20725,2016-06-12,First Class,2016-06-15
US-2014-152030,600.558,3,0.3,-8.5794,AD-10180,2014-12-26,Second Class,2014-12-28
US-2014-134614,617.7,6,0.5,-407.682,PF-19165,2014-09-20,Standard Class,2014-09-25
US-2017-107272,2.388,2,0.7,-1.8308,TS-21610,2017-11-05,Standard Class,2017-11-12
US-2016-125969,81.424,2,0.2,-9.1602,LS-16975,2016-11-06,Second Class,2016-11-10
US-2017-164147,59.97,5,0.4,-11.994,DW-13585,2017-02-02,First Class,2017-02-05
CA-2016-145583,20.04,3,0.0,9.6192,LC-16885,2016-10-13,Standard Class,2016-10-19
CA-2016-110366,82.8,2,0.2,10.35,JD-15895,2016-09-05,Second Class,2016-09-07
CA-2017-106180,8.82,3,0.0,2.3814,SH-19975,2017-09-18,Standard Class,2017-09-23
CA-2017-155376,839.43,3,0.0,218.2518,SG-20080,2017-12-22,Standard Class,2017-12-27
CA-2015-110744,671.93,7,0.0,20.1579,HA-14920,2015-09-07,Standard Class,2015-09-12
CA-2014-110072,93.888,4,0.2,12.9096,MG-17680,2014-10-22,Standard Class,2014-10-28
CA-2016-114489,384.45,11,0.0,103.8015,JE-16165,2016-12-05,Standard Class,2016-12-09
CA-2016-158834,157.92,5,0.2,17.766,TW-21025,2016-03-13,First Class,2016-03-16
CA-2015-124919,58.38,7,0.0,26.271,SP-20650,2015-05-31,First Class,2015-06-02
CA-2015-118948,6.63,3,0.0,1.7901,NK-18490,2015-05-28,Standard Class,2015-06-03
CA-2014-104269,457.568,2,0.2,51.4764,DB-13060,2014-03-01,Second Class,2014-03-06
CA-2016-114104,14.62,2,0.0,6.8714,NP-18670,2016-11-20,Standard Class,2016-11-24
CA-2016-162733,5.98,1,0.0,2.691,TT-21070,2016-05-11,First Class,2016-05-12
CA-2015-119697,54.384,2,0.2,1.3596,EM-13960,2015-12-28,Second Class,2015-12-31
CA-2016-154508,28.4,5,0.0,13.348,RD-19900,2016-11-16,Standard Class,2016-11-20
CA-2016-113817,27.68,2,0.2,9.688,MJ-17740,2016-11-07,Standard Class,2016-11-11
CA-2014-139892,9.936,3,0.2,2.7324,BM-11140,2014-09-08,Standard Class,2014-09-12
CA-2014-118962,20.94,3,0.0,9.8418,CS-12130,2014-08-05,Standard Class,2014-08-09
US-2014-100853,52.448,2,0.8,-131.12,JB-15400,2014-09-14,Standard Class,2014-09-19
US-2017-152366,97.264,4,0.8,-243.16,SJ-20500,2017-04-21,Second Class,2017-04-25
US-2015-101511,396.802,7,0.3,-11.3372,JE-15745,2015-11-21,Second Class,2015-11-23
CA-2015-137225,3.28,1,0.0,1.4104,JK-15640,2015-12-15,Standard Class,2015-12-19
CA-2014-166191,24.816,2,0.2,1.8612,DK-13150,2014-12-05,Second Class,2014-12-09
CA-2014-158274,503.96,4,0.0,131.0296,RM-19675,2014-11-19,Second Class,2014-11-24
CA-2016-105018,7.16,2,0.0,3.4368,SK-19990,2016-11-28,Standard Class,2016-12-02
CA-2014-123260,176.8,8,0.0,22.984,FM-14290,2014-08-26,Standard Class,2014-08-30
CA-2016-157000,37.224,3,0.2,3.7224,AM-10360,2016-07-16,Standard Class,2016-07-22
CA-2015-102281,899.136,4,0.2,112.392,MP-17470,2015-10-12,First Class,2015-10-14
CA-2015-131457,14.28,7,0.0,6.7116,MZ-17515,2015-10-31,Standard Class,2015-11-06
CA-2014-140004,7.408,2,0.2,1.2038,CB-12025,2014-03-21,Standard Class,2014-03-25
CA-2017-107720,46.26,3,0.0,12.0276,VM-21685,2017-11-06,Standard Class,2017-11-13
US-2017-124303,2.946,2,0.7,-2.2586,FH-14365,2017-07-06,Standard Class,2017-07-13
CA-2017-105074,21.744,3,0.2,6.795,MB-17305,2017-06-24,Standard Class,2017-06-29
CA-2014-133690,218.75,2,0.5,-161.875,BS-11755,2014-08-03,First Class,2014-08-05
US-2017-116701,66.284,2,0.8,-178.9668,LC-17140,2017-12-17,Second Class,2017-12-21
CA-2017-126382,35.168,7,0.2,9.6712,HK-14890,2017-06-03,Standard Class,2017-06-07
CA-2017-108329,444.768,4,0.2,44.4768,LE-16810,2017-12-09,Standard Class,2017-12-14
CA-2017-135860,83.92,4,0.0,5.8744,JH-15985,2017-12-01,Standard Class,2017-12-07
CA-2015-101007,20.8,2,0.2,6.5,MS-17980,2015-02-09,Second Class,2015-02-13
CA-2015-146262,23.68,2,0.2,8.88,VW-21775,2015-01-02,Standard Class,2015-01-09
CA-2016-130162,93.06,6,0.0,26.0568,JH-15910,2016-10-28,Standard Class,2016-11-01
CA-2015-169397,5.584,2,0.2,1.8148,JB-15925,2015-12-24,First Class,2015-12-27
CA-2015-163055,2.2,1,0.0,0.968,DS-13180,2015-08-09,Standard Class,2015-08-16
US-2015-145436,161.568,2,0.2,-28.2744,VD-21670,2015-02-28,Standard Class,2015-03-04
US-2014-156216,18.648,7,0.7,-12.432,EA-14035,2014-09-13,Standard Class,2014-09-17
US-2017-100930,233.86,2,0.45,-102.048,CS-12400,2017-04-07,Standard Class,2017-04-12
CA-2017-160514,10.56,2,0.0,4.752,DB-13120,2017-11-12,Standard Class,2017-11-16
CA-2016-157749,25.92,5,0.2,9.396,KL-16645,2016-06-04,Second Class,2016-06-09
CA-2014-131926,2001.86,7,0.0,580.5394,DW-13480,2014-06-01,Second Class,2014-06-06
CA-2016-154739,321.568,2,0.2,28.1372,LH-17155,2016-12-10,Second Class,2016-12-15
CA-2016-145625,7.61,1,0.0,3.5767,KC-16540,2016-09-11,Standard Class,2016-09-17
CA-2016-146941,80.58,6,0.0,22.5624,DL-13315,2016-12-10,First Class,2016-12-13
US-2015-159982,12.132,9,0.6,-8.4924,DR-12880,2015-11-28,Standard Class,2015-12-04
CA-2017-163139,20.37,3,0.0,6.9258,CC-12670,2017-12-01,Second Class,2017-12-03
US-2017-155299,1.624,2,0.8,-4.466,Dl-13600,2017-06-08,Standard Class,2017-06-12
US-2014-106992,3059.982,3,0.4,-509.997,SB-20290,2014-09-19,Second Class,2014-09-21
CA-2016-125318,328.224,4,0.2,28.7196,RC-19825,2016-06-06,Standard Class,2016-06-13
CA-2015-155040,79.9,2,0.0,35.156,AH-10210,2015-11-10,Standard Class,2015-11-15
CA-2017-136826,14.016,3,0.2,4.7304,CB-12535,2017-06-16,Standard Class,2017-06-20
CA-2016-111010,7.56,6,0.0,0.3024,PG-18895,2016-01-22,Standard Class,2016-01-28
US-2017-145366,37.208,1,0.2,-7.4416,CA-12310,2017-12-09,Standard Class,2017-12-13
CA-2017-163979,725.84,4,0.0,210.4936,KH-16690,2017-12-28,Second Class,2018-01-02
CA-2015-155334,209.93,7,0.0,92.3692,HA-14920,2015-07-30,First Class,2015-07-31
CA-2017-118136,8.82,2,0.0,4.0572,BB-10990,2017-09-16,First Class,2017-09-17
CA-2017-132976,11.648,2,0.2,4.0768,AG-10495,2017-10-13,Standard Class,2017-10-17
US-2015-161991,2.08,5,0.8,-3.432,SC-20725,2015-09-26,Second Class,2015-09-28
CA-2015-130890,1038.84,5,0.2,51.942,JO-15280,2015-11-02,Standard Class,2015-11-06
CA-2015-130883,141.76,5,0.2,47.844,TB-21520,2015-09-26,Standard Class,2015-10-02
CA-2016-112697,254.058,7,0.7,-169.372,AH-10195,2016-12-18,Second Class,2016-12-20
CA-2016-110772,19.096,7,0.2,6.6836,NZ-18565,2016-11-20,Second Class,2016-11-24
CA-2014-111451,300.416,8,0.2,78.8592,KL-16555,2014-12-26,First Class,2014-12-28
CA-2016-142545,32.4,5,0.0,15.552,JD-15895,2016-10-28,Standard Class,2016-11-03
US-2017-152380,219.075,3,0.5,-131.445,JH-15910,2017-11-19,Standard Class,2017-11-23
CA-2015-144253,26.8,2,0.0,12.864,AS-10225,2015-05-04,Second Class,2015-05-09
CA-2014-130960,9.84,3,0.0,2.8536,KB-16600,2014-12-30,Standard Class,2015-01-04
CA-2014-111003,45.48,3,0.0,20.9208,CR-12625,2014-06-01,Standard Class,2014-06-06
CA-2017-126774,4.89,1,0.0,2.0049,SH-20395,2017-04-15,First Class,2017-04-17
CA-2016-142902,15.136,4,0.2,3.5948,BP-11185,2016-09-12,Second Class,2016-09-14
CA-2014-120887,87.54,3,0.0,37.6422,TS-21205,2014-09-27,Standard Class,2014-10-03
CA-2014-167850,178.384,2,0.2,22.298,AG-10525,2014-08-09,Standard Class,2014-08-16
CA-2014-164259,99.136,4,0.2,8.6744,SP-20860,2014-12-28,First Class,2014-12-30
CA-2014-164973,135.882,1,0.1,24.1568,NM-18445,2014-11-04,Standard Class,2014-11-09
CA-2014-156601,7.16,2,0.0,3.58,FA-14230,2014-09-19,Standard Class,2014-09-24
CA-2016-162138,251.52,6,0.2,81.744,GK-14620,2016-04-23,Standard Class,2016-04-27
CA-2017-153339,15.992,1,0.2,0.9995,DJ-13510,2017-11-03,Second Class,2017-11-05
US-2016-141544,290.898,3,0.4,-67.8762,PO-18850,2016-08-30,First Class,2016-09-01
US-2016-150147,82.8,2,0.4,-20.7,JL-15850,2016-04-25,Second Class,2016-04-29
CA-2015-137946,4.752,1,0.2,1.6038,DB-13615,2015-09-01,Second Class,2015-09-04
CA-2014-129924,7.712,2,0.2,2.7956,AC-10420,2014-07-12,Standard Class,2014-07-17
CA-2015-128167,4.96,4,0.0,2.3312,KL-16645,2015-06-22,Second Class,2015-06-26
CA-2014-122336,17.856,4,0.2,1.116,JD-15895,2014-04-13,Second Class,2014-04-17
US-2015-120712,88.8,4,0.2,-2.22,CS-12130,2015-12-20,Standard Class,2015-12-24
CA-2017-169901,47.976,3,0.2,4.7976,CC-12550,2017-06-15,Standard Class,2017-06-19
CA-2017-134306,7.56,3,0.0,3.0996,TD-20995,2017-07-08,Standard Class,2017-07-12
CA-2016-129714,6.79,1,0.0,2.3086,AB-10060,2016-09-01,First Class,2016-09-03
CA-2016-138520,388.704,6,0.2,-4.8588,JL-15505,2016-04-08,Standard Class,2016-04-13
CA-2016-130001,36.24,5,0.2,11.325,HK-14890,2016-04-23,Standard Class,2016-04-28
CA-2017-155698,647.84,8,0.0,168.4384,VB-21745,2017-03-08,First Class,2017-03-11
CA-2017-144904,20.7,2,0.0,9.936,KW-16435,2017-09-25,Standard Class,2017-10-01
CA-2014-123344,211.96,4,0.0,8.4784,JD-16060,2014-09-24,Standard Class,2014-09-29
CA-2016-155516,23.2,4,0.0,10.44,MK-17905,2016-10-21,Same Day,2016-10-21
CA-2017-104745,25.92,5,0.2,9.396,GT-14755,2017-05-29,Standard Class,2017-06-04
US-2014-119137,8.16,5,0.7,-5.712,AG-10900,2014-07-23,Standard Class,2014-07-27
US-2016-134656,99.136,4,0.2,30.98,MM-18280,2016-09-28,First Class,2016-10-01
US-2017-134481,1488.424,7,0.3,-297.6848,AR-10405,2017-08-27,Standard Class,2017-09-01
CA-2015-130792,8.652,3,0.8,-20.3322,RA-19915,2015-04-28,Standard Class,2015-05-05
CA-2016-134775,50.96,7,0.0,25.48,AS-10285,2016-10-28,First Class,2016-10-29
CA-2015-125395,41.9,2,0.0,8.799,LA-16780,2015-06-26,Second Class,2015-06-29
US-2015-168935,375.4575,3,0.45,-157.0095,DO-13435,2015-11-27,Standard Class,2015-12-02
CA-2015-122756,482.34,4,0.7,-337.638,DK-13225,2015-12-03,Standard Class,2015-12-07
CA-2014-115973,2.624,1,0.2,0.4264,NG-18430,2014-11-24,First Class,2014-11-26
CA-2017-101798,23.36,4,0.2,7.884,MV-18190,2017-12-11,Standard Class,2017-12-15
US-2014-135972,246.384,2,0.2,27.7182,JG-15115,2014-09-21,Second Class,2014-09-23
US-2014-134971,12.462,3,0.8,-20.5623,BP-11095,2014-06-07,Second Class,2014-06-10
CA-2017-102946,75.792,3,0.2,25.5798,VP-21730,2017-06-30,Standard Class,2017-07-05
CA-2017-165603,49.96,2,0.0,9.4924,SS-20140,2017-10-17,Second Class,2017-10-19
CA-2015-122259,70.12,4,0.0,21.036,HP-14815,2015-10-31,Standard Class,2015-11-04
CA-2016-108987,35.952,3,0.2,3.5952,AG-10675,2016-09-08,Second Class,2016-09-10
CA-2014-113166,9.568,2,0.2,3.4684,LF-17185,2014-12-24,First Class,2014-12-26
CA-2014-155208,39.072,6,0.2,9.768,SP-20650,2014-04-16,Standard Class,2014-04-20
CA-2017-117933,35.91,3,0.0,9.6957,RF-19840,2017-12-24,Standard Class,2017-12-29
CA-2017-117457,179.95,5,0.0,37.7895,KH-16510,2017-12-08,Standard Class,2017-12-12
CA-2017-142636,139.86,7,0.0,65.7342,KC-16675,2017-11-03,Standard Class,2017-11-07
CA-2017-122105,95.92,8,0.0,25.8984,CJ-12010,2017-06-24,Standard Class,2017-06-28
CA-2016-148796,383.8,5,0.2,38.38,PB-19150,2016-04-14,Standard Class,2016-04-18
CA-2017-154816,5.78,1,0.0,2.8322,VB-21745,2017-11-06,Standard Class,2017-11-10
CA-2017-110478,9.32,4,0.0,2.7028,SP-20860,2017-03-04,Standard Class,2017-03-09
CA-2014-142048,196.752,6,0.2,56.5662,JE-15745,2014-06-22,First Class,2014-06-25
CA-2017-125388,56.56,4,0.0,14.7056,MP-17965,2017-10-19,Standard Class,2017-10-23
CA-2017-155705,866.4,4,0.0,225.264,NF-18385,2017-08-21,Second Class,2017-08-23
CA-2017-149160,28.4,2,0.0,11.076,JM-15265,2017-11-23,Second Class,2017-11-26
CA-2014-101476,69.99,1,0.0,30.0957,SD-20485,2014-09-12,First Class,2014-09-13
CA-2017-152275,6.672,6,0.2,0.5004,KH-16630,2017-10-01,Standard Class,2017-10-08
US-2016-123750,189.588,2,0.7,-145.3508,RB-19795,2016-04-15,Standard Class,2016-04-21
CA-2016-127369,714.3,5,0.0,207.147,DB-13060,2016-06-06,First Class,2016-06-07
US-2014-150574,4.812,2,0.7,-3.6892,MK-18160,2014-12-19,Standard Class,2014-12-25
CA-2016-147375,1007.979,3,0.3,43.1991,PO-19180,2016-06-12,Second Class,2016-06-14
CA-2017-130043,31.872,8,0.2,11.5536,BB-11545,2017-09-15,Standard Class,2017-09-19
CA-2017-157252,207.846,3,0.1,2.3094,CV-12805,2017-01-20,Second Class,2017-01-23
CA-2016-115756,12.22,1,0.0,3.666,PK-19075,2016-09-05,Second Class,2016-09-07
CA-2017-154214,2.91,1,0.0,1.3677,TB-21595,2017-03-20,Second Class,2017-03-25
CA-2016-166674,59.52,3,0.0,15.4752,RB-19360,2016-04-01,Second Class,2016-04-03
CA-2017-147277,284.364,2,0.4,-75.8304,EB-13705,2017-10-20,Standard Class,2017-10-24
CA-2016-100153,63.88,4,0.0,24.9132,KH-16630,2016-12-13,Standard Class,2016-12-17
US-2014-110674,129.568,2,0.2,-24.294,SC-20095,2014-02-12,Standard Class,2014-02-18
US-2016-157945,747.558,3,0.3,-96.1146,NF-18385,2016-09-26,Standard Class,2016-10-01
CA-2015-109638,103.92,4,0.0,36.372,JH-15985,2015-12-15,Standard Class,2015-12-22
CA-2016-109869,23.56,5,0.2,7.068,TN-21040,2016-04-22,Standard Class,2016-04-29
US-2015-101399,254.744,7,0.6,-312.0614,JS-15940,2015-01-17,Standard Class,2015-01-24
CA-2017-154907,205.3328,2,0.32,-36.2352,DS-13180,2017-03-31,Standard Class,2017-04-04
US-2016-100419,4.788,3,0.8,-7.9002,CC-12670,2016-12-16,Second Class,2016-12-20
CA-2015-154144,55.48,1,0.0,26.6304,MH-17785,2015-12-20,Standard Class,2015-12-24
CA-2014-144666,340.92,3,0.0,3.4092,JP-15520,2014-11-09,Second Class,2014-11-11
CA-2016-103891,95.76,6,0.2,7.182,KH-16690,2016-07-12,Standard Class,2016-07-19
CA-2016-152632,40.2,3,0.0,19.296,JE-15475,2016-10-27,Standard Class,2016-11-02
CA-2016-100790,14.7,5,0.0,6.615,JG-15805,2016-06-26,Standard Class,2016-07-02
CA-2014-134677,9.09,3,0.0,1.9089,XP-21865,2014-10-06,Standard Class,2014-10-10
CA-2014-127691,5.96,2,0.0,1.6688,EM-14065,2014-07-22,Standard Class,2014-07-27
CA-2017-140963,29.6,2,0.0,14.8,MT-18070,2017-06-10,First Class,2017-06-13
CA-2014-154627,2735.952,6,0.2,341.994,SA-20830,2014-10-29,First Class,2014-10-31
CA-2014-133753,7.992,1,0.2,0.5994,CW-11905,2014-06-09,Second Class,2014-06-13
CA-2014-113362,449.15,5,0.0,8.983,AJ-10960,2014-09-14,Standard Class,2014-09-19
CA-2016-169166,93.98,2,0.0,13.1572,SS-20590,2016-05-09,Standard Class,2016-05-14
US-2016-120929,189.882,3,0.4,-94.941,RO-19780,2016-03-18,Second Class,2016-03-21
CA-2015-134782,105.42,2,0.0,51.6558,MD-17350,2015-12-27,Standard Class,2015-12-31
CA-2016-126158,119.616,8,0.2,40.3704,SC-20095,2016-07-25,Standard Class,2016-07-31
US-2016-105578,22.62,2,0.7,-15.08,MY-17380,2016-05-30,Standard Class,2016-06-04
CA-2017-134978,15.92,5,0.2,5.373,EB-13705,2017-11-12,Second Class,2017-11-15
CA-2015-145352,2.74,1,0.0,0.7398,CM-12385,2015-03-16,Standard Class,2015-03-22
CA-2017-135307,126.3,3,0.0,40.416,LS-17245,2017-11-26,First Class,2017-11-27
CA-2016-106341,7.152,3,0.2,0.7152,LF-17185,2016-10-20,First Class,2016-10-23
CA-2017-163405,6.63,3,0.0,1.7901,BN-11515,2017-12-21,Standard Class,2017-12-25
CA-2017-127432,2999.95,5,0.0,1379.977,AD-10180,2017-01-22,Standard Class,2017-01-27
CA-2015-157812,18.392,1,0.2,5.2877,DB-13210,2015-03-22,Standard Class,2015-03-26
CA-2017-145142,210.98,2,0.0,21.098,MC-17605,2017-01-23,First Class,2017-01-25
US-2016-139486,55.176,3,0.2,-12.4146,LH-17155,2016-05-21,First Class,2016-05-23
CA-2015-158792,22.2,5,0.0,10.434,BD-11605,2015-12-26,Standard Class,2016-01-02
CA-2017-113558,683.952,3,0.2,42.747,PH-18790,2017-10-21,Standard Class,2017-10-26
US-2015-138303,36.336,3,0.2,-7.2672,MG-18145,2015-09-03,Standard Class,2015-09-07
CA-2015-102848,190.72,1,0.2,11.92,KB-16240,2015-11-07,Second Class,2015-11-09
US-2017-129441,47.94,3,0.0,2.397,JC-15340,2017-09-07,Standard Class,2017-09-11
CA-2016-168753,979.95,5,0.0,274.386,RL-19615,2016-05-29,Second Class,2016-06-01
CA-2016-126613,16.768,2,0.2,1.4672,AA-10375,2016-07-10,Standard Class,2016-07-16
US-2017-122637,42.616,7,0.8,-68.1856,EP-13915,2017-09-03,Second Class,2017-09-08
CA-2015-147851,10.752,4,0.2,3.36,MP-17470,2015-12-03,Standard Class,2015-12-08
CA-2015-134894,152.94,3,0.0,41.2938,DK-12985,2015-12-07,Standard Class,2015-12-11
CA-2014-140795,468.9,6,0.0,206.316,BD-11500,2014-02-01,First Class,2014-02-03
CA-2016-136924,380.864,8,0.2,38.0864,ES-14080,2016-07-14,First Class,2016-07-17
US-2015-120161,646.776,9,0.2,-145.5246,LM-17065,2015-12-18,Standard Class,2015-12-23
CA-2014-103849,58.112,2,0.2,7.264,PG-18895,2014-05-11,Standard Class,2014-05-16
CA-2017-162929,41.28,6,0.2,13.932,AS-10135,2017-11-19,First Class,2017-11-22
CA-2015-113173,250.272,9,0.2,15.642,DK-13225,2015-11-15,Second Class,2015-11-17
CA-2016-136406,1121.568,2,0.2,0.0,BD-11320,2016-04-15,Second Class,2016-04-17
CA-2017-112774,34.504,1,0.2,6.0382,RC-19960,2017-09-11,First Class,2017-09-12
CA-2017-101945,10.824,3,0.2,2.5707,GT-14710,2017-11-24,Standard Class,2017-11-28
CA-2017-100650,1295.78,2,0.0,310.9872,DK-13225,2017-06-29,Second Class,2017-07-03
CA-2014-155852,19.456,4,0.2,3.4048,AJ-10945,2014-03-03,Second Class,2014-03-07
CA-2016-113243,20.7,2,0.0,9.936,OT-18730,2016-06-10,Standard Class,2016-06-15
CA-2017-118731,42.6,3,0.0,16.614,LP-17080,2017-11-20,Second Class,2017-11-22
CA-2014-145576,13.0,5,0.2,1.3,CA-12775,2014-09-14,Second Class,2014-09-18
CA-2015-130736,3.96,2,0.0,0.0,JF-15490,2015-12-07,First Class,2015-12-09
CA-2017-137099,374.376,3,0.2,46.797,FP-14320,2017-12-07,First Class,2017-12-10
CA-2017-156951,91.84,8,0.0,45.0016,EB-13840,2017-10-01,Standard Class,2017-10-08
CA-2017-164826,72.45,7,0.0,34.776,JF-15415,2017-12-28,Standard Class,2018-01-04
CA-2016-127250,8.82,3,0.0,2.3814,SF-20200,2016-11-03,Standard Class,2016-11-07
CA-2015-149713,160.72,14,0.0,78.7528,TG-21640,2015-09-18,Second Class,2015-09-22
CA-2017-118640,69.712,2,0.2,8.714,CS-11950,2017-07-20,Standard Class,2017-07-26
CA-2015-132906,51.52,4,0.0,1.5456,CC-12145,2015-09-10,Standard Class,2015-09-14
CA-2017-145233,470.376,3,0.2,52.9173,DV-13465,2017-12-01,Standard Class,2017-12-05
CA-2015-128139,70.98,1,0.0,4.9686,BD-11725,2015-07-03,Standard Class,2015-07-09
US-2016-156986,84.784,2,0.2,-20.1362,ZC-21910,2016-03-20,Standard Class,2016-03-24
CA-2014-135405,9.344,2,0.2,1.168,MS-17830,2014-01-09,Standard Class,2014-01-13
CA-2014-131450,76.12,2,0.0,22.0748,LR-16915,2014-08-08,Standard Class,2014-08-15
CA-2016-120180,11.632,2,0.2,1.0178,TP-21130,2016-07-14,First Class,2016-07-16
US-2016-100720,143.982,3,0.4,-28.7964,CK-12205,2016-07-16,Standard Class,2016-07-21
CA-2014-149958,142.776,1,0.2,17.847,AS-10240,2014-03-15,Standard Class,2014-03-19
US-2014-105767,3.282,2,0.7,-2.6256,AR-10510,2014-05-23,Standard Class,2014-05-27
CA-2016-161816,369.576,3,0.2,41.5773,NB-18655,2016-04-28,First Class,2016-05-01
